ItemId,ItemDesc,ObsolescenceStatus,Brand,BuyerCode,VendorCode,VendorName,ItemGroup,ListPrice,PackSize,LineDisc,CoverageGroup,NewProductKPI,ReleaseDate,SOH,Ordered,OnOrder,CostPerUnit,AvgMthUsage,SuperGrpDesc,ProdGrpDesc,ProdClassDesc,ItemStatus,SalesLeadTime,PurchaseLeadTime,MinBalance,IOQ,MOQ,DeliveryDateControl
HLSC/ACCB,CTECH CAPS &ACC KIT BLK-PATT 3,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,354.76,,PC,PTO_NAF,None,,,,,77.9200,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4604 - H4604 Lift & Slide Climatech System,Saleable,87,85,,1,1,Sales Lead Time
HLSC/ACCBL,CLIMATEC CAPS & ACC KIT BLK LH,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,270.21,,PC,PTO_NAF,None,,,,,59.3500,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4604 - H4604 Lift & Slide Climatech System,Saleable,87,85,,1,1,Sales Lead Time
HLSC/ACCBR,CLIMATEC CAPS & ACC KIT BLK RH,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,270.21,,PC,PTO_NAF,None,,,,,59.3500,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4604 - H4604 Lift & Slide Climatech System,Saleable,87,85,,1,1,Sales Lead Time
HLSC/ACCG,CTECH CAPS &ACC KIT GRY-PATT 3,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,237.10,,PC,PTO_NAF,None,,,,,52.0800,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4604 - H4604 Lift & Slide Climatech System,Saleable,87,85,,1,1,Sales Lead Time
HLSC/ACCGL,CLIMATECH CAPS &ACC KIT GRY LH,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,180.01,,PC,PTO_NAF,None,,,,,39.5400,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4604 - H4604 Lift & Slide Climatech System,Saleable,87,85,,1,1,Sales Lead Time
HLSC/ACCGR,CLIMATECH CAPS &ACC KIT GRY RH,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,180.01,,PC,PTO_NAF,None,,,,,39.5400,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4604 - H4604 Lift & Slide Climatech System,Saleable,87,85,,1,1,Sales Lead Time
HLSI/1500SP,PVC FX-SASH LO CVR T/HOLD 1.5M,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,88.64,,PC,PTO_NAF,None,,,,,19.4700,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4603 - H4603 Lift & Slide Intermediate Syst,Saleable,87,85,,1,1,Sales Lead Time
HLSI/2000SP,PVC FX-SASH LO CVR T/HOLD 2M,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,115.74,,PC,PTO_NAF,None,,,,,25.4200,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4603 - H4603 Lift & Slide Intermediate Syst,Saleable,87,85,,1,1,Sales Lead Time
HLSI/20L,INT COMPENSATING CAP KIT LH,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,87.09,,PC,PTO_NAF,None,,,,,19.1200,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4603 - H4603 Lift & Slide Intermediate Syst,Saleable,87,85,,1,1,Sales Lead Time
HLSI/20P3,INT COMPENSATE CAP KIT PATT 3,Active,HENDERSON,C4,38868.0,PC HENDERSON UK,FG_PURIG,83.36,,PC,PTO_NAF,None,,,,,18.3100,,71 - 71 Sliding & Folding Door Hardware,H46 - H46 Lift & Slide System,H4603 - H4603 Lift & Slide Intermediate Syst,Saleable,87,85,,1,1,Sales Lead Time
